dataset,filters,kernel_size,lstm_units,dropout,learning_rate,batch_size,val_loss,val_accuracy,precision,recall,f1,epochs_used,basin_id,phase,method
Haaglanden,128,4,128,0.1,0.0005,16,1.0687350034713745,0.5375,0.5457959373517771,0.538653774361067,0.5136310868343692,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.1,0.0005,32,1.1259804964065552,0.51171875,0.4782050107853667,0.5085602116667762,0.4772029960250044,4,5,hc_step,Basin Hopping
Haaglanden,96,4,128,0.1,0.0005,16,1.1018680334091187,0.51796875,0.5105984013224492,0.5206710786527531,0.5127773014249611,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.2,0.0005,16,1.1233726739883423,0.51953125,0.4659950159544737,0.5143277341068229,0.4532125031933204,4,5,hc_step,Basin Hopping
Haaglanden,128,3,128,0.1,0.0005,16,1.1476554870605469,0.5109375,0.5063568067083084,0.5127158676185913,0.5018945767204391,4,5,hc_step,Basin Hopping
Haaglanden,128,4,96,0.1,0.0005,16,1.1026697158813477,0.52109375,0.5188437445364287,0.5191502654010499,0.5128705015605569,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.1,0.0001,16,1.082330584526062,0.55546875,0.5371593747740537,0.5498193048613533,0.5339558159818283,4,5,hc_step,Basin Hopping
Haaglanden,128,5,128,0.1,0.0005,16,1.0789573192596436,0.55859375,0.5420512482487161,0.5521721981983059,0.54280754244531,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.1,0.001,16,1.0624868869781494,0.54296875,0.5007582499073043,0.5361290663612742,0.49731748169069057,4,5,hc_step,Basin Hopping
Haaglanden,96,4,128,0.1,0.001,16,1.0947000980377197,0.54453125,0.5216820426955211,0.5379462461977838,0.5168865594827975,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.1,0.005,16,1.2287094593048096,0.4515625,0.41295771204156234,0.4481511429484318,0.37035864450705186,4,5,hc_step,Basin Hopping
Haaglanden,128,3,128,0.1,0.001,16,1.1688188314437866,0.48984375,0.46222401061810947,0.4825833599562732,0.4633907188663381,4,5,hc_step,Basin Hopping
Haaglanden,128,5,128,0.1,0.001,16,1.090051293373108,0.5390625,0.5313061393867105,0.5307539808631814,0.5232399226074309,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.2,0.001,16,1.155192255973816,0.49765625,0.5311707715075188,0.49175064644877625,0.4979179587821509,4,5,hc_step,Basin Hopping
Haaglanden,128,4,128,0.1,0.001,32,1.0851162672042847,0.540625,0.5138140353853395,0.5350648561380329,0.5125148800951942,4,5,hc_step,Basin Hopping
